2021-07-24 06:49:00.296017|GRDBLP|NULL
2021-07-24 06:49:01.415488|GLH|NULL
2021-07-24 06:49:02.535231|GMFILP|NULL
2021-07-24 06:49:03.652554|GMFIL|NULL
2021-07-24 06:49:04.779691|GLBSL|NULL
2021-07-24 06:49:05.878242|GLICLP|NULL
2021-07-24 06:49:06.987549|GLICL|NULL
2021-07-24 06:49:08.098236|GUFL|NULL
2021-07-24 06:49:09.204409|GUFLPO|NULL
2021-07-24 06:49:10.292602|HAMAPO|NULL
2021-07-24 06:49:11.409263|HBT|NULL
2021-07-24 06:49:12.534346|HDHPC|NULL
2021-07-24 06:49:13.639982|HURJA|NULL
2021-07-24 06:49:14.747752|HBL|NULL
2021-07-24 06:49:15.860772|HBLPO|NULL
2021-07-24 06:49:16.977383|HBLD83|NULL
2021-07-24 06:49:18.095521|HDL|NULL
2021-07-24 06:49:19.190060|HFL|NULL
2021-07-24 06:49:20.303366|HGI|NULL
2021-07-24 06:49:21.422435|HGIPO|NULL
2021-07-24 06:49:22.526451|HPPL|NULL
2021-07-24 06:49:23.649541|HIDCL|NULL
2021-07-24 06:49:24.759291|ICFCPO|NULL
2021-07-24 06:49:25.872845|ICFC|NULL
2021-07-24 06:49:26.977676|ICFCD83|NULL
2021-07-24 06:49:28.075176|IGIPO|NULL
2021-07-24 06:49:29.194315|IGI|NULL
2021-07-24 06:49:30.325488|ILBS|NULL
2021-07-24 06:49:31.428461|IDBLPO|NULL
2021-07-24 06:49:32.536584|INDBPO|NULL
2021-07-24 06:49:33.643695|INDBLP|NULL
2021-07-24 06:49:34.760639|JFL|NULL
2021-07-24 06:49:35.877775|JFLPO|NULL
2021-07-24 06:49:36.994267|JSLBB|NULL
2021-07-24 06:49:38.089204|JSLBBP|NULL
2021-07-24 06:49:39.189445|JHBLPO|NULL
2021-07-24 06:49:42.586823|JOSHI|NULL
2021-07-24 06:49:43.698829|JBBL|NULL
2021-07-24 06:49:44.816496|JBBLPO|NULL
2021-07-24 06:49:45.927561|JLI|NULL
2021-07-24 06:49:47.051623|JSM|NULL
2021-07-24 06:49:48.156957|KKBLPO|NULL
2021-07-24 06:49:49.264589|KMCDBP|NULL
2021-07-24 06:49:50.376573|KMCDB|NULL
2021-07-24 06:49:51.493524|KPCL|NULL
2021-07-24 06:49:52.609500|KCDBLP|NULL
2021-07-24 06:49:53.725303|KSBBLD87|NULL
2021-07-24 06:49:54.815787|KSBBL|NULL
2021-07-24 06:49:55.919882|KSBBLP|NULL
2021-07-24 06:49:57.022117|KRBL|NULL
2021-07-24 06:49:58.121918|KRBLPO|NULL
2021-07-24 06:49:59.235570|KAFILP|NULL
2021-07-24 06:50:00.361500|KDBLPO|NULL
2021-07-24 06:50:01.466349|KKHC|NULL
2021-07-24 06:50:02.574999|KLBSLP|NULL
2021-07-24 06:50:03.701218|KLBSL|NULL
2021-07-24 06:50:04.798989|KBLPO|NULL
2021-07-24 06:50:05.910848|KBL|NULL
2021-07-24 06:50:07.018290|KBLD86|NULL
2021-07-24 06:50:08.129723|KEF|NULL
2021-07-24 06:50:09.250726|LFC|NULL
2021-07-24 06:50:10.371873|LFCPO|NULL
2021-07-24 06:50:11.486709|LBLD86|NULL
2021-07-24 06:50:12.582703|LEMF|NULL
2021-07-24 06:50:13.687375|LBL|NULL
2021-07-24 06:50:14.794409|LBLPO|NULL
2021-07-24 06:50:15.893184|LUK|NULL
2021-07-24 06:50:17.004866|LLBSPO|NULL
2021-07-24 06:50:18.118003|LLBS|NULL
2021-07-24 06:50:19.221939|LEC|NULL
2021-07-24 06:50:20.337134|LICNPO|NULL
2021-07-24 06:50:21.459648|LICN|NULL
2021-07-24 06:50:22.570394|LUBLPO|NULL
2021-07-24 06:50:23.682823|LBBLPO|NULL
2021-07-24 06:50:24.787033|LBBL|NULL
2021-07-24 06:50:25.900314|LFLCPO|NULL
2021-07-24 06:50:27.031777|LGIL|NULL
2021-07-24 06:50:28.151123|LGILPO|NULL
2021-07-24 06:50:29.264787|MBLPO|NULL
2021-07-24 06:50:30.362913|MBL|NULL
2021-07-24 06:50:31.458220|MBLD2085|NULL
2021-07-24 06:50:32.564722|MFLPO|NULL
2021-07-24 06:50:33.689117|MBBLPO|NULL
2021-07-24 06:50:34.787313|MLBLPO|NULL
2021-07-24 06:50:35.900645|MLBL|NULL
2021-07-24 06:50:37.011083|MDBLPO|NULL
2021-07-24 06:50:38.126747|MLBSL|NULL
2021-07-24 06:50:39.247998|MSMBSP|NULL
2021-07-24 06:50:40.353543|MSMBS|NULL
2021-07-24 06:50:41.461175|MSLB|NULL
2021-07-24 06:50:42.571336|MSLBP|NULL
2021-07-24 06:50:43.683510|MSBBLP|NULL
2021-07-24 06:50:44.804624|MFIL|NULL
2021-07-24 06:50:45.927524|MFILPO|NULL
2021-07-24 06:50:47.044286|MFLD85|NULL
2021-07-24 06:50:48.147093|MEGA|NULL
2021-07-24 06:50:49.244284|MEGAPO|NULL
2021-07-24 06:50:50.350738|MERO|NULL
2021-07-24 06:50:51.477282|MEROPO|NULL
2021-07-24 06:50:52.577116|MMFDBP|NULL
2021-07-24 06:50:53.696011|MMFDB|NULL
2021-07-24 06:50:54.801502|MDBPO|NULL
2021-07-24 06:50:55.919286|MDB|NULL
2021-07-24 06:50:57.045671|MLBBL|NULL
2021-07-24 06:50:58.153082|MLBBLP|NULL
2021-07-24 06:50:59.263310|MMDBLP|NULL
2021-07-24 06:51:00.372982|MEN|NULL
2021-07-24 06:51:01.490845|MHNL|NULL
2021-07-24 06:51:02.610405|MNBBLP|NULL
2021-07-24 06:51:03.731827|MNBBL|NULL
2021-07-24 06:51:04.835682|MPFL|NULL
2021-07-24 06:51:05.930757|MPFLPO|NULL
2021-07-24 06:51:07.039082|NABIL|NULL
2021-07-24 06:51:08.162233|NABILP|NULL
2021-07-24 06:51:09.265622|NEF|NULL
2021-07-24 06:51:10.360698|NBF2|NULL
2021-07-24 06:51:11.469445|NBLD82|NULL
2021-07-24 06:51:12.589704|NADEP|NULL
2021-07-24 06:51:13.704908|NADEPP|NULL
2021-07-24 06:51:14.829830|NBSLPO|NULL
2021-07-24 06:51:15.932533|NABBC|NULL
2021-07-24 06:51:17.036896|NNFCPO|NULL
2021-07-24 06:51:18.159704|NHPC|NULL
2021-07-24 06:51:19.264776|00002|NULL
2021-07-24 06:51:20.379976|NLICLP|NULL
2021-07-24 06:51:21.482154|NLICL|NULL
2021-07-24 06:51:22.591433|NMFBS|NULL
2021-07-24 06:51:23.691291|NMFBSP|NULL
2021-07-24 06:51:24.800522|NIL|NULL
2021-07-24 06:51:25.925248|NILPO|NULL
2021-07-24 06:51:27.028644|NABBPO|NULL
2021-07-24 06:51:28.129612|NAGRO|NULL
2021-07-24 06:51:29.241207|NAGROP|NULL
2021-07-24 06:51:30.363081|NBBPO|NULL
2021-07-24 06:51:31.481571|NBB|NULL
2021-07-24 06:51:32.612059|NBBD2085|NULL
2021-07-24 06:51:33.724028|NBL|NULL
2021-07-24 06:51:34.832329|NBBU|NULL
2021-07-24 06:51:35.951366|RMBFPO|NULL
2021-07-24 06:51:37.065843|NCCBPO|NULL
2021-07-24 06:51:38.173720|NCCB|NULL
2021-07-24 06:51:39.280494|NCCD86|NULL
2021-07-24 06:51:40.392498|NTC|NULL
2021-07-24 06:51:41.487012|NEFLPO|NULL
2021-07-24 06:51:42.598667|NFD|NULL
2021-07-24 06:51:43.726142|NFSPO|NULL
2021-07-24 06:51:44.833470|NFS|NULL
2021-07-24 06:51:45.937382|NHDL|NULL
2021-07-24 06:51:47.058440|NIFRA|NULL
2021-07-24 06:51:48.153215|NICLPO|NULL
2021-07-24 06:51:49.275818|NICL|NULL
2021-07-24 06:51:50.403237|NIBD2082|NULL
2021-07-24 06:51:51.525007|NIBLPF|NULL
2021-07-24 06:51:52.641728|NIBD84|NULL
2021-07-24 06:51:53.755011|NIBSF2|NULL
2021-07-24 06:51:54.861251|NIB|NULL
2021-07-24 06:51:55.954855|NIBPO|NULL
2021-07-24 06:51:57.057123|NIBSF1|NULL
